S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Constituency,Total Sittings,No. of days member signed the register
259,320,Shri  Premdas  Katheria                                          ,15,4,Uttar Pradesh                                               ,Etawah,32,29
260,321,Shri  Dharmendra  Yadav                                             ,15,4,Uttar Pradesh                                               ,Badaun,32,28
261,322,Shri  Neeraj  Shekhar                                           ,15,4,Uttar Pradesh                                               ,Ballia,32,31
262,323,Shri    Gorakhnath  Pandey                                ,15,4,Uttar Pradesh                                               ,Bhadohi ,32,29
263,324,Shri  Dhananjay  Singh                                             ,15,4,Uttar Pradesh                                               ,Jaunpur,32,25
264,325,Smt.  Susmita  Bauri                                             ,15,4,West Bengal                                                 ,Bishnupur,32,30
265,326,Dr.  Anup Kumar  Saha                                              ,15,4,West Bengal                                                 ,Bardhaman Purba,32,29
266,327,Shri  Pulin Bihari  Baske                                             ,15,4,West Bengal                                                 ,Jhargram,32,30
267,328,Shri  K.  Sugumar                                           ,15,4,Tamil Nadu                                                  ,Pollachi,32,24
268,329,Shri  Ambica  Banerjee                                          ,15,4,West Bengal                                                 ,Howrah,32,29
269,330,Shri    Suvendu   Adhikari                                ,15,4,West Bengal                                                 ,Tamluk,32,10
270,331,Smt.  Usha  Verma                                             ,15,4,Uttar Pradesh                                               ,Hardoi,32,29
271,332,Shri  Bal Kumar  Patel                                             ,15,4,Uttar Pradesh                                               ,Mirzapur,32,30
272,333,Shri  Rakesh  Pandey                                            ,15,4,Uttar Pradesh                                               ,Ambedkar Nagar,32,26
273,334,Shri  Gorakh Prasad  Jaiswal                                           ,15,4,Uttar Pradesh                                               ,Deoria,32,31
274,335,Sk.   Saidul  Haque                                             ,15,4,West Bengal                                                 ,Bardhaman-Durgapur,32,31
275,336,Shri  Mahendra Kumar  Roy                                               ,15,4,West Bengal                                                 ,Jalpaiguri,32,32
276,337,Shri  C.  Sivasami                                          ,15,4,Tamil Nadu                                                  ,Tiruppur,32,26
277,338,Smt.  Satabdi  Roy                                               ,15,4,West Bengal                                                 ,Birbhum,32,20
278,339,Shri  Tapas  Paul                                              ,15,4,West Bengal                                                 ,Krishnanagar,32,19
279,340,Dr.  Sucharu Ranjan  Haldar                                            ,15,4,West Bengal                                                 ,Ranaghat,32,28
280,341,Shri  Pakauri  Lal                                               ,15,4,Uttar Pradesh                                               ,Robertsganj,32,28
281,342,Shri  Ghanshyam  Anuragi                                           ,15,4,Uttar Pradesh                                               ,Jalaun,32,30
282,343,Shri  Kamlesh  Balmiki                                           ,15,4,Uttar Pradesh                                               ,Bulandshahr,32,31
283,344,Shri  Arvind Kumar  Chaudhary                                         ,15,4,Uttar Pradesh                                               ,Basti,32,30
284,345,Shri  Deoraj Singh  Patel                                             ,15,4,Madhya Pradesh                                              ,Rewa,32,26
285,346,Shri  Ramashankar  Rajbhar                                           ,15,4,Uttar Pradesh                                               ,Salempur,32,27
286,347,Shri  P. K.  Biju                                              ,15,4,Kerala                                                      ,Alathur,32,27
287,348,Shri  M. B.  Rajesh                                            ,15,4,Kerala                                                      ,Palakkad,32,32
288,349,Shri  P.  Lingam                                            ,15,4,Tamil Nadu                                                  ,Tenkasi,32,32
289,350,Shri  P.  Kumar                                             ,15,4,Tamil Nadu                                                  ,Tiruchirappalli,32,27
290,351,Dr.  Padamsinha  Bajirao  Patil                                    ,15,4,Maharashtra                                                 ,Osmanabad,32,29
291,352,Dr.  Ratna  De (Nag)                                          ,15,4,West Bengal                                                 ,Hooghly,32,18
292,353,Shri  Kabir  Suman                                             ,15,4,West Bengal                                                 ,Jadavpur,32,10
293,354,Shri    Mithlesh Kumar                                    ,15,4,Uttar Pradesh                                               ,Shahjahanpur,32,30
294,355,Shri  Yashvir  Singh                                             ,15,4,Uttar Pradesh                                               ,Nagina,32,30
295,356,Shri  Radhey Mohan  Singh                                             ,15,4,Uttar Pradesh                                               ,Ghazipur,32,27
296,357,Shri  Kapil Muni  Karwariya                                         ,15,4,Uttar Pradesh                                               ,Phulpur,32,20
297,358,Shri  Surendra Singh  Nagar                                             ,15,4,Uttar Pradesh                                               ,Gautam Buddha Nagar,32,29
298,359,Shri  Kadir  Rana                                              ,15,4,Uttar Pradesh                                               ,Muzaffarnagar,32,16
299,360,Shri  Bibhu Prasad  Tarai                                             ,15,4,Orissa                                                      ,Jagatsinghpur,32,29
300,361,Shri  Sakti  Mohan   Malik                                     ,15,4,West Bengal                                                 ,Arambagh,32,31
301,362,Shri  Prasanta Kumar  Majumdar                                          ,15,4,West Bengal                                                 ,Balurghat,32,31
302,363,Shri  Mekapati Rajamohan  Reddy                                             ,15,4,Andhra Pradesh                                              ,Nellore,32,28
303,364,Dr.  Tarun  Mondal                                            ,15,4,West Bengal                                                 ,Joynagar,32,30
304,365,Shri  Basudeb  Acharia                                           ,15,4,West Bengal                                                 ,Bankura,32,31
305,366,Shri  Sharad  Yadav                                             ,15,4,Bihar                                                       ,Madhepura,32,27
306,367,Shri  Arjun Charan  Sethi                                             ,15,4,Orissa                                                      ,Bhadrak,32,31
307,368,Shri  Anant Gangaram  Geete                                             ,15,4,Maharashtra                                                 ,Raigad,32,24
308,369,Shri  Ram Sundar  Das                                               ,15,4,Bihar                                                       ,Hajipur,32,28
309,370,Shri  Bhartruhari  Mahtab                                            ,15,4,Orissa                                                      ,Cuttack,32,32
310,371,Shri  P.  Karunakaran                                       ,15,4,Kerala                                                      ,Kasaragod,32,29
311,372,Shri  Chandrakant  Khaire                                            ,15,4,Maharashtra                                                 ,Aurangabad,32,19
312,373,Shri  Anandrao  Adsul                                             ,15,4,Maharashtra                                                 ,Amravati,32,M
313,374,Shri  Rajiv Ranjan  Singh  @ Lalan Singh                              ,15,4,Bihar                                                       ,Munger,32,27
314,375,Shri  K. Chandrasekhar  Rao                                               ,15,4,Andhra Pradesh                                              ,Mahabubnagar,32,1
315,376,Dr.  Rattan Singh  Ajnala                                            ,15,4,Punjab                                                      ,Khadoor Sahib,32,32
316,377,Shri  Prasanna  Kumar Patasani                                    ,15,4,Orissa                                                      ,Bhubaneswar,32,28
317,378,Smt.  Bhavana  Gawali                                            ,15,4,Maharashtra                                                 ,Yavatmal-Washim,32,27
318,379,Shri  Dinesh Chandra  Yadav                                             ,15,4,Bihar                                                       ,Khagaria,32,32
319,380,Shri   Mangani Lal  Mandal                                            ,15,4,Bihar                                                       ,Jhanjharpur,32,32
320,381,Shri  Digvijay  Singh                                             ,15,4,Bihar                                                       ,Banka,32,19
321,381,Shri  Inder Singh  Namdhari                                          ,15,4,Jharkhand                                                   ,Chatra,32,32
322,382,Smt.  Jaya Prada  Nahata                                            ,15,4,Uttar Pradesh                                               ,Rampur,32,4
323,383,Shri  Tathagata  Satpathy                                          ,15,4,Orissa                                                      ,Dhenkanal,32,28
324,384,Shri  Shivaji  Adhalrao Patil                                    ,15,4,Maharashtra                                                 ,Shirur,32,14
325,385,Dr.  Ranjan Prasad  Yadav                                             ,15,4,Bihar                                                       ,Pataliputra,32,32
326,386,Capt.(Retd.)  Jainarayan Prasad  Nishad                                            ,15,4,Bihar                                                       ,Muzaffarpur,32,25
327,387,Dr.  Monazir  Hassan                                            ,15,4,Bihar                                                       ,Begusarai,32,30
328,388,Shri  Nama Nageswara  Rao                                               ,15,4,Andhra Pradesh                                              ,Khammam,32,31
329,389,Smt.  Harsimrat Kaur  Badal                                             ,15,4,Punjab                                                      ,Bathinda,32,29
330,390,Smt.  Paramjit Kaur  Gulshan                                           ,15,4,Punjab                                                      ,Faridkot,32,29
331,391,Shri  Mohan  Jena                                              ,15,4,Orissa                                                      ,Jajpur,32,26
332,392,Shri  Anand Prakash  Paranjpe                                          ,15,4,Maharashtra                                                 ,Kalyan,32,25
333,393,Shri  Jagdish  Sharma                                            ,15,4,Bihar                                                       ,Jahanabad,32,28
334,394,Shri  Sushil Kumar  Singh                                             ,15,4,Bihar                                                       ,Aurangabad,32,29
335,396,Shri  Narahari  Mahato                                            ,15,4,West Bengal                                                 ,Purulia,32,23
336,397,Shri  Ramesh  Rathod                                            ,15,4,Andhra Pradesh                                              ,Adilabad,32,22
337,398,Ms.  M. Vijaya  Shanthi                                           ,15,4,Andhra Pradesh                                              ,Medak,32,1
338,399,Shri  Pinaki  Misra                                             ,15,4,Orissa                                                      ,Puri,32,27
339,400,Shri  Baijayant  Panda                                             ,15,4,Orissa                                                      ,Kendrapara,32,20
340,402,Shri  Vishwa Mohan  Kumar                                             ,15,4,Bihar                                                       ,Supaul,32,24
341,403,Shri  Baidyanath Prasad  Mahto                                             ,15,4,Bihar                                                       ,Valmiki Nagar,32,32
342,404,Shri  Angadi Suresh  Channabasappa                                     ,15,4,Karnataka                                                   ,Belgaum,32,26
343,405,Shri  Ramen  Deka                                              ,15,4,Assam                                                       ,Mangaldoi,32,30
344,406,Smt.    Rama Devi                                         ,15,4,Bihar                                                       ,Sheohar,32,31
345,407,Shri  Nripendra Nath  Roy                                               ,15,4,West Bengal                                                 ,Cooch Behar,32,24
346,408,Shri  K. Narayana  Rao                                               ,15,4,Andhra Pradesh                                              ,Machilipatnam,32,24
347,409,Shri  Jayaram  Pangi                                             ,15,4,Orissa                                                      ,Koraput,32,23
348,410,Shri  Rudramadhab  Ray                                               ,15,4,Orissa                                                      ,Kandhamal,32,25
349,411,Shri  A.  Ganeshamurthi                                     ,15,4,Tamil Nadu                                                  ,Erode,32,25
350,412,Shri   Prataprao  Ganpatrao Jadhav                                  ,15,4,Maharashtra                                                 ,Buldhana,32,25
351,413,Shri  Arjun  Roy                                               ,15,4,Bihar                                                       ,Sitamarhi,32,31
352,414,Smt.  Aswamedh  Devi                                              ,15,4,Bihar                                                       ,Ujiarpur,32,32
353,415,Shri  P. C.  Mohan                                             ,15,4,Karnataka                                                   ,Bangalore Central,32,17
354,416,Shri  Jeetendra Singh  Bundela                                           ,15,4,Madhya Pradesh                                              ,Khajuraho,32,29
355,417,Shri  Hari  Manjhi                                            ,15,4,Bihar                                                       ,Gaya,32,32
356,418,Shri  Modugula Venugopala  Reddy                                             ,15,4,Andhra Pradesh                                              ,Narasaraopet,32,18
357,419,Shri  Naramalli  Sivaprasad                                        ,15,4,Andhra Pradesh                                              ,Chittoor,32,18
358,420,Dr.  Kirodi  Lal  Meena                                        ,15,4,Rajasthan                                                   ,Dausa,32,29
359,421,Shri  Nityananda  Pradhan                                           ,15,4,Orissa                                                      ,Aska,32,25
360,422,Shri  Subhash Bapurao  Wankhede                                          ,15,4,Maharashtra                                                 ,Hingoli,32,20
361,423,Shri  Mahabali  Singh                                             ,15,4,Bihar                                                       ,Karakat,32,30
362,424,Shri  Purnmasi  Ram                                               ,15,4,Bihar                                                       ,Gopalganj,32,30
363,425,Smt.  Darshana  Jardosh                                           ,15,4,Gujarat                                                     ,Surat,32,29
364,426,Kum.  Saroj  Pandey                                            ,15,4,Chhattisgarh                                                ,Durg,32,31
365,427,Shri  Yashbant N.S.  Laguri                                            ,15,4,Orissa                                                      ,Keonjhar,32,20
366,428,Shri  Kalikesh N. Singh  Deo                                               ,15,4,Orissa                                                      ,Bolangir,32,28
367,429,Shri  Kristappa  Nimmala                                           ,15,4,Andhra Pradesh                                              ,Hindupur,32,22
368,430,Shri  Y.S.Jagan Mohan  Reddy                                             ,15,4,Andhra Pradesh                                              ,Kadapa,32,26
369,431,Shri  Gajanan D.  Babar                                             ,15,4,Maharashtra                                                 ,Maval,32,23
370,432,Adv.   Ganeshrao  Nagorao Dudhgaonkar                               ,15,4,Maharashtra                                                 ,Parbhani,32,32
371,433,Smt.  Meena  Singh                                             ,15,4,Bihar                                                       ,Arrah,32,31
372,434,Shri  Bhudeo  Choudhary                                         ,15,4,Bihar                                                       ,Jamui,32,29
373,435,Shri   Bhausaheb  Rajaram   Wakchaure                               ,15,4,Maharashtra                                                 ,Shirdi,32,25
374,436,Shri  Kamlesh  Paswan                                            ,15,4,Uttar Pradesh                                               ,Bansgaon,32,26
375,437,Prof.(Dr.)  Ram Shankar  Katheria                                          ,15,4,Uttar Pradesh                                               ,Agra,32,21
376,438,Shri  Rajendra  Agarwal                                           ,15,4,Uttar Pradesh                                               ,Meerut,32,32
377,439,Shri    Varun  Gandhi                                            ,15,4,Uttar Pradesh                                               ,Pilibhit,32,26
378,440,Shri   Raju Shetti  ,15,4,Maharashtra                                                 ,Hatkanangle,32,25
379,441,Shri  Sidhant  Mohapatra                                         ,15,4,Orissa                                                      ,Berhampur,32,20
380,442,Shri  Laxman  Tudu                                              ,15,4,Orissa                                                      ,Mayurbhanj,32,17
381,444,Shri  Kaushalendra  Kumar                                             ,15,4,Bihar                                                       ,Nalanda,32,31
382,445,Shri  Maheshwar  Hazari                                            ,15,4,Bihar                                                       ,Samastipur,32,30
383,446,Shri  Sher Singh  Ghubaya                                           ,15,4,Punjab                                                      ,Ferozpur,32,27
384,447,Shri  Joseph  Toppo                                             ,15,4,Assam                                                       ,Tezpur,32,30
385,448,Shri  Virender  Kashyap                                           ,15,4,Himachal Pradesh                                            ,Shimla,32,28
386,449,Shri  Shivarama  Gouda                                             ,15,4,Karnataka                                                   ,Koppal,32,18
387,450,Shri  Udasi Shivkumar  Chanabasappa                                      ,15,4,Karnataka                                                   ,Haveri,32,31
388,451,Dr.  Rajan  Sushant                                           ,15,4,Himachal Pradesh                                            ,Kangra,32,31
389,452,Shri  Ramesh  Vishwanath   Katti                                ,15,4,Karnataka                                                   ,Chikkodi,32,18
390,453,Shri  S.  Pakkirappa                                        ,15,4,Karnataka                                                   ,Raichur,32,18
391,454,Dr.  Murli Manohar  Joshi                                             ,15,4,Uttar Pradesh                                               ,Varanasi,32,29
392,455,Shri  Rajnath  Singh                                             ,15,4,Uttar Pradesh                                               ,Ghaziabad,32,24
393,456,Shri   Gopinathrao  Pandurang   Munde                                 ,15,4,Maharashtra                                                 ,Beed,32,28
394,457,Shri  Lal Krishna  Advani                                            ,15,4,Gujarat                                                     ,Gandhinagar,32,32
395,460,Shri  Shatrughan  Sinha                                             ,15,4,Bihar                                                       ,Patna Sahib,32,25
396,461,Shri  Syed Shahnawaz  Hussain                                           ,15,4,Bihar                                                       ,Bhagalpur,32,32
397,462,Shri  Hukamdeo Narayan  Yadav                                             ,15,4,Bihar                                                       ,Madhubani,32,31
398,463,Shri  Yashwant  Sinha                                             ,15,4,Jharkhand                                                   ,Hazaribagh,32,31
399,464,Shri  Ramesh  Bais                                              ,15,4,Chhattisgarh                                                ,Raipur,32,32
400,465,Shri    Ananth Kumar                                      ,15,4,Karnataka                                                   ,Bangalore South,32,26
401,466,Shri  Jaswant  Singh                                             ,15,4,West Bengal                                                 ,Darjeeling,32,12
402,467,Smt.  Maneka  Gandhi                                            ,15,4,Uttar Pradesh                                               ,Aonla,32,27
403,468,Shri  Kabindra  Purkayastha                                       ,15,4,Assam                                                       ,Silchar,32,31
404,469,Shri  Dilip Singh  Judev                                             ,15,4,Chhattisgarh                                                ,Bilaspur,32,21
405,470,Smt.  Bijoya  Chakravarty                                       ,15,4,Assam                                                       ,Gauhati,32,31
406,471,Shri  Harin  Pathak                                            ,15,4,Gujarat                                                     ,Ahmedabad East,32,26
407,472,Shri  Arjun  Munda                                             ,15,4,Jharkhand                                                   ,Jamshedpur,32,28
408,473,Shri  Kailash  Joshi                                             ,15,4,Madhya Pradesh                                              ,Bhopal,32,30
409,474,Smt.  Sumitra  Mahajan                                           ,15,4,Madhya Pradesh                                              ,Indore,32,30
410,475,Shri  Yogi  Adityanath                                        ,15,4,Uttar Pradesh                                               ,Gorakhpur,32,28
411,476,Shri  Rajendrasinh  Rana                                              ,15,4,Gujarat                                                     ,Bhavnagar,32,27
412,477,Shri  Narendra Singh  Tomar                                             ,15,4,Madhya Pradesh                                              ,Morena,32,28
413,478,Smt.  Yashodhara Raje  Scindia                                           ,15,4,Madhya Pradesh                                              ,Gwalior,32,32
414,478,Shri  D.V. Sadananda  Gowda                                             ,15,4,Karnataka                                                   ,Udupi Chikmagalur,32,17
415,479,Shri  Vishnu Deo  Sai                                               ,15,4,Chhattisgarh                                                ,Raigarh,32,22
416,480,Shri  Radha Mohan  Singh                                             ,15,4,Bihar                                                       ,Purvi Champaran ,32,29
417,481,Shri  Shripad Yesso  Naik                                              ,15,4,Goa                                                         ,North Goa,32,24
418,482,Shri  Nikhil Kumar  Choudhary                                         ,15,4,Bihar                                                       ,Katihar,32,29
419,483,Shri  Dilip Kumar Mansukhlal  Gandhi                                            ,15,4,Maharashtra                                                 ,Ahmednagar,32,29
420,484,Shri  Anant Kumar  Hegde                                             ,15,4,Karnataka                                                   ,Uttara Kannada,32,19
421,486,Shri  Ram Singh  Kaswan                                            ,15,4,Rajasthan                                                   ,Churu,32,30
422,487,Shri  Mansukhbhai Dhanjibhai  Vasava                                            ,15,4,Gujarat                                                     ,Bharuch,32,29
423,488,Shri  G.S.  Basavaraj                                         ,15,4,Karnataka                                                   ,Tumkur,32,29
424,489,Shri  D.B. Chandre  Gowda                                             ,15,4,Karnataka                                                   ,Bangalore North,32,19
425,490,Shri  Lalji  Tandon                                            ,15,4,Uttar Pradesh                                               ,Lucknow,32,30
426,490,Shri  Baliram  Kashyap                                           ,15,4,Chhattisgarh                                                ,Bastar,32,1
427,491,Shri  Ashok  Argal                                             ,15,4,Madhya Pradesh                                              ,Bhind,32,28
428,492,Shri    Virendra Kumar                                    ,15,4,Madhya Pradesh                                              ,Tikamgarh,32,31
429,493,Shri  Ganesh  Singh                                             ,15,4,Madhya Pradesh                                              ,Satna,32,28
430,494,Shri  Rakesh  Singh                                             ,15,4,Madhya Pradesh                                              ,Jabalpur,32,29
431,495,Shri  Anurag Singh  Thakur                                            ,15,4,Himachal Pradesh                                            ,Hamirpur,32,27
432,496,Shri  Raosaheb  Dadarao  Danve                                             ,15,4,Maharashtra                                                 ,Jalna,32,23
433,497,Shri  Rajen  Gohain                                            ,15,4,Assam                                                       ,Nawgong,32,25
434,498,Shri  Hansraj Gangaram  Ahir                                              ,15,4,Maharashtra                                                 ,Chandrapur,32,23
435,499,Shri  Sohan  Potai                                             ,15,4,Chhattisgarh                                                ,Kanker,32,28
436,500,Shri  Ramsinhbhai Patalbhai  Rathwa                                            ,15,4,Gujarat                                                     ,Chhota Udaipur,32,29
437,501,Shri  Ramesh Chandappa  Jigajinagi                                        ,15,4,Karnataka                                                   ,Bijapur,32,18
438,502,Shri  Ravindra Kumar  Pandey                                            ,15,4,Jharkhand                                                   ,Giridih,32,21
439,503,Shri  Kirti  Azad                                              ,15,4,Bihar                                                       ,Darbhanga,32,30
440,504,Shri  Prahlad  Joshi                                             ,15,4,Karnataka                                                   ,Dharwad,32,26
441,505,Shri  Sanjay  Dhotre                                            ,15,4,Maharashtra                                                 ,Akola,32,20
442,506,Shri  P.C.  Gaddigoudar                                       ,15,4,Karnataka                                                   ,Bagalkot,32,32
443,507,Shri  Navjot Singh  Sidhu                                             ,15,4,Punjab                                                      ,Amritsar,32,7
444,508,Shri  Harischandra Deoram  Chavan                                            ,15,4,Maharashtra                                                 ,Dindori,32,27
445,509,Shri  Haribhau  Jawale                                            ,15,4,Maharashtra                                                 ,Raver,32,31
446,510,Shri   G.M.  Siddeswara                                        ,15,4,Karnataka                                                   ,Davanagere,32,22
447,511,Shri  Dushyant  Singh                                             ,15,4,Rajasthan                                                   ,Jhalawar-Baran,32,18
448,512,Shri  Bishnu Pada  Ray                                               ,15,4,Andaman and Nicobar Islands                                 ,Andaman and Nicobar Islands,32,29
449,513,Shri  Uday  Singh                                             ,15,4,Bihar                                                       ,Purnia,32,25
450,514,Shri  Govind Prasad  Mishra                                            ,15,4,Madhya Pradesh                                              ,Sidhi,32,32
451,515,Shri  Dinubhai  Boghabhal   Solanki                               ,15,4,Gujarat                                                     ,Junagadh,32,4
452,516,Shri  Chandulal Sahu  Chandu Bhaiya  ,15,4,Chhattisgarh                                                ,Mahasamund,32,29
453,517,Shri  Bhupendra  Singh                                             ,15,4,Madhya Pradesh                                              ,Sagar,32,28
454,518,Shri  Sudarshan  Bhagat                                            ,15,4,Jharkhand                                                   ,Lohardaga,32,29
455,519,Dr.  Sanjay  Jaiswal                                           ,15,4,Bihar                                                       ,Paschim Champaran,32,25
456,520,Shri  Prabhatsinh  Pratapsinh Chauhan                                ,15,4,Gujarat                                                     ,Panchmahal,32,28
457,521,Shri  Pashupati Nath  Singh                                             ,15,4,Jharkhand                                                   ,Dhanbad,32,31
458,523,Shri  Devidhan  Besra                                             ,15,4,Jharkhand                                                   ,Rajmahal,32,27
459,524,Dr.  Bhola  Singh                                             ,15,4,Bihar                                                       ,Nawada,32,28
460,525,Shri  Devji M.  Patel                                             ,15,4,Rajasthan                                                   ,Jalore,32,28
461,526,Shri  C. R.  Patil                                             ,15,4,Gujarat                                                     ,Navsari,32,24
462,527,Shri  Balkrishna Khanderao  Shukla                                            ,15,4,Gujarat                                                     ,Vadodara,32,27
463,528,Shri  B. Y.  Raghavendra                                       ,15,4,Karnataka                                                   ,Shimoga,32,19
464,529,Shri  Arjun Ram  Meghwal                                           ,15,4,Rajasthan                                                   ,Bikaner,32,32
465,530,Shri  A.T. Nana  Patil                                             ,15,4,Maharashtra                                                 ,Jalgaon,32,30
466,531,Shri  Shivraj  Bhaiya                                            ,15,4,Madhya Pradesh                                              ,Damoh,32,31
467,532,Shri  Sonawane  Pratap Narayanrao                                 ,15,4,Maharashtra                                                 ,Dhule,32,27
468,533,Shri  Pradeep Kumar  Singh                                             ,15,4,Bihar                                                       ,Araria,32,25
469,534,Shri  Makhansingh  Solanki                                           ,15,4,Madhya Pradesh                                              ,Khargone,32,24
470,535,Shri  Chauhan  Mahendrasinh                                      ,15,4,Gujarat                                                     ,Sabarkantha,32,32
471,536,Shri  Madhusudan  Yadav                                             ,15,4,Chhattisgarh                                                ,Rajnandgaon,32,13
472,537,Shri  Lalubhai  B.  Patel                                             ,15,4,Daman and Diu                                               ,Daman and Diu,32,27
473,538,Dr.  Kiritbhai  Premajibhai    Solanki                            ,15,4,Gujarat                                                     ,Ahmedabad West,32,31
474,539,Shri  K. D.  Deshmukh                                          ,15,4,Madhya Pradesh                                              ,Balaghat,32,16
475,540,Shri  Janardhana  Swamy                                             ,15,4,Karnataka                                                   ,Chitradurga,32,21
476,541,Smt.  Kamla Devi  Patle                                             ,15,4,Chhattisgarh                                                ,Janjgir-Champa ,32,22
477,542,Smt.  Jyoti  Dhurve                                            ,15,4,Madhya Pradesh                                              ,Betul,32,27
478,543,Ms.  J.  Shantha                                           ,15,4,Karnataka                                                   ,Bellary,32,19
479,544,Smt.  Jayshreeben  Kanubhai    Patel                                 ,15,4,Gujarat                                                     ,Mehesana,32,29
480,545,Shri  Nishikant  Dubey                                             ,15,4,Jharkhand                                                   ,Godda,32,31
481,546,Shri  Natubhai Gomanbhai  Patel                                             ,15,4,Dadra and Nagar Haveli                                      ,Dadra and Nagar Haveli,32,23
482,547,Shri    Naranbhai   Kachhadia                             ,15,4,Gujarat                                                     ,Amreli,32,30
483,548,Shri  Nalin Kumar  Kateel                                            ,15,4,Karnataka                                                   ,Dakshina Kannada,32,19
484,549,Shri  Murarilal  Singh                                             ,15,4,Chhattisgarh                                                ,Surguja,32,24
